,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
136,26703227,96.94857142857143,96.045,100.0,89.74833333333333,95.91874999999999,96.45375,96.00250000000001,100.0,,,,
137,26703228,98.21375,,91.25,,95.9375,98.76555555555555,95.595,100.0,3.0,3.0,96.49,100.00
138,26703228,98.21375,,91.25,,95.9375,98.76555555555555,95.595,100.0,3.0,3.0,96.49,100.00
139,26703231,,93.33333333333333,,95.0,100.0,95.23666666666666,95.0,100.0,1.0,1.0,95.63,100.00
140,26703232,95.83375000000001,100.0,100.0,,88.88888888888889,96.42857142857143,97.77777777777777,100.0,7.0,1.0,95.47,92.31
141,26703233,100.0,,90.8325,,95.0,100.0,92.8575,100.0,1.0,,95.02,95.83
142,26703233,100.0,,90.8325,,95.0,100.0,92.8575,100.0,1.0,,95.02,95.83
143,26703236,97.91624999999999,100.0,,,91.82555555555557,100.0,100.0,100.0,9.0,6.0,97.15,100.00
144,26703240,90.0,100.0,100.0,,100.0,97.61833333333334,100.0,100.0,,,97.07,94.12
145,26703241,100.0,96.98428571428572,,97.11571428571428,100.0,100.0,93.33333333333333,100.0,2.0,,97.31,93.18
146,26703245,88.88833333333334,91.66624999999999,,100.0,100.0,100.0,97.91625,83.33,2.0,2.0,95.71,100.00
147,26703248,100.0,94.14857142857143,100.0,93.51833333333333,,97.95857142857143,100.0,100.0,1.0,1.0,93.47,96.88
148,26703248,100.0,94.14857142857143,100.0,93.51833333333333,,97.95857142857143,100.0,100.0,1.0,1.0,93.47,96.88
149,26703250,100.0,100.0,100.0,,93.57142857142857,100.0,84.375,100.0,,,94.79,100.00
150,26703251,100.0,98.21375,,100.0,97.77777777777777,93.75,100.0,100.0,1.0,,95.81,95.65
151,26703253,100.0,100.0,,92.5,100.0,92.58875,93.75,100.0,1.0,,94.53,96.55
152,26703256,94.04714285714284,86.805,89.72166666666665,94.44500000000001,,95.83333333333333,,100.0,,,92.12,100.00
153,26703256,94.04714285714284,86.805,89.72166666666665,94.44500000000001,,95.83333333333333,,100.0,,,92.12,100.00
154,26703263,100.0,,91.11166666666668,96.42857142857143,100.0,,100.0,100.0,3.0,2.0,96.48,90.91
155,26703282,95.83333333333333,96.29666666666667,,100.0,98.485,89.16624999999999,91.90500000000002,100.0,,,94.3,86.67
156,26703287,95.23666666666666,92.85499999999999,100.0,,100.0,100.0,100.0,100.0,,,94.59,
157,26703291,100.0,98.61111111111111,,100.0,94.95555555555556,92.85714285714286,94.0475,100.0,,,94.66,95.83
158,26703292,100.0,,89.58333333333333,,100.0,98.61111111111111,97.14285714285714,100.0,1.0,1.0,95.55,100.00
159,26703298,98.334,94.24444444444447,100.0,96.57624999999999,97.05875,95.5825,95.36444444444443,100.0,,,95.62,
160,26703299,100.0,,95.83333333333333,,97.14285714285714,97.30125,97.22166666666665,100.0,1.0,,96.66,
161,26703302,,91.84375,91.66666666666667,95.57714285714285,,91.00444444444445,96.75888888888888,100.0,8.0,3.0,93.99,88.24
162,26703302,,91.84375,91.66666666666667,95.57714285714285,,91.00444444444445,96.75888888888888,100.0,8.0,3.0,93.99,88.24
